city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
惠州市,,,,,,,,,100.0,127.11,124.75,134.97,181.97,133.71,133.08,131.3,133.99,137.42,143.65,147.9,167.59,180.76,165.08,152.3,143.39,142.76,186.51,210.71,220.66,238.81,239.52,235.83,226.52,219.75,260.2,260.93,259.26,281.0,284.35,289.93,278.78,267.63,262.05,278.78,280.45,269.02,275.38,270.81,279.45,281.57,271.87
成都市,100.0,60.59,105.81,110.87,118.42,128.75,127.07,136.94,148.72,155.0,165.97,148.46,149.83,152.25,148.96,162.65,170.95,162.39,166.46,177.72,161.05,157.43,165.63,157.06,144.48,140.05,134.09,134.84,134.25,135.35,142.2,139.19,139.45,142.76,157.13,152.87,157.3,165.42,169.85,172.31,174.77,177.23,174.77,174.77,175.39,171.55,171.33,165.2,165.54,173.15,171.65
扬州市,,,,,100.0,99.15,107.79,120.22,127.72,138.22,136.54,129.85,124.21,134.33,129.79,124.39,126.23,133.49,122.82,127.85,131.85,134.49,125.14,109.42,126.4,134.18,123.63,127.84,130.9,139.97,132.7,136.49,133.0,127.05,143.42,146.13,143.86,146.13,143.49,154.82,147.27,143.49,154.82,154.82,152.93,162.18,160.03,171.24,153.53,156.82,152.33
无锡市,,,,,100.0,105.69,116.01,117.45,123.11,124.39,115.08,117.04,118.49,106.95,117.07,113.39,122.27,108.22,98.02,104.73,99.0,96.67,89.43,84.84,88.39,92.64,85.97,85.5,81.09,81.55,88.79,92.6,95.34,92.32,87.03,87.58,86.83,89.08,92.32,94.82,89.83,92.33,92.33,97.32,98.62,98.5,92.16,91.79,92.34,94.16,94.38
日照市,,,,,,,,,100.0,104.0,102.19,105.78,110.42,103.49,107.82,108.83,117.49,132.47,127.7,136.82,127.02,130.29,134.88,106.7,123.55,124.56,131.89,120.47,129.04,118.45,120.09,121.25,118.09,111.2,106.75,111.46,100.44,106.56,118.4,126.57,118.4,126.57,114.32,126.57,122.12,134.0,124.73,116.48,125.83,145.88,136.53
昆明市,,,,,100.0,108.39,118.61,135.66,142.76,144.86,143.38,157.88,141.04,126.99,140.2,141.41,154.89,167.78,150.23,159.36,167.85,163.85,159.21,169.89,141.86,146.52,135.93,130.41,127.89,128.34,134.07,128.97,128.9,132.72,138.94,139.14,142.49,147.52,148.08,150.87,162.05,159.26,145.29,159.26,156.24,157.58,158.59,157.08,158.03,155.49,151.94
杭州市,100.0,126.43,120.64,124.78,125.45,119.56,123.6,135.0,146.52,146.79,153.85,154.79,146.33,136.99,134.34,130.87,142.61,142.98,146.99,130.65,135.12,130.71,115.94,124.94,114.0,120.85,113.15,110.79,102.83,107.96,110.11,112.49,114.84,114.66,114.73,117.68,116.18,119.69,120.19,123.53,120.19,125.2,128.54,131.88,132.56,126.05,121.64,123.86,121.69,119.97,120.55
武汉市,100.0,108.5,110.34,114.2,121.57,130.74,133.83,143.62,153.92,161.86,163.55,167.5,182.32,167.63,165.34,167.71,172.72,188.46,198.0,195.12,188.77,200.69,197.38,184.57,184.74,192.7,201.81,201.05,211.49,226.56,246.38,280.18,279.13,267.22,266.36,265.88,272.03,268.34,274.9,291.31,299.52,299.52,299.52,303.62,305.67,302.76,303.33,292.17,289.75,285.81,283.92
汕头市,,,,,100.0,96.27,102.99,118.1,129.52,128.74,151.41,143.49,155.55,155.64,161.74,173.32,177.23,176.63,176.48,189.91,199.13,194.18,234.47,215.13,267.34,228.69,192.46,196.91,194.7,209.89,212.31,213.95,220.44,234.87,222.48,231.7,248.59,275.14,273.53,281.57,289.61,273.52,289.61,249.39,279.8,266.28,262.74,266.84,307.87,252.84,277.05
沈阳市,,,,,100.0,100.85,99.28,108.36,109.44,111.6,118.69,120.28,120.68,120.78,124.6,123.58,124.74,126.25,134.15,125.86,128.81,126.74,126.22,120.45,119.23,119.0,116.56,118.81,123.49,120.58,121.01,119.19,121.6,120.39,131.96,128.79,138.94,158.45,145.7,145.7,145.7,140.5,140.5,140.5,156.58,156.45,145.91,149.86,146.87,138.39,133.29
泉州市,,,,,100.0,108.39,113.64,113.42,122.6,113.97,128.74,121.55,123.17,126.03,121.92,131.85,135.43,154.04,154.19,147.37,136.86,144.82,125.68,132.0,131.92,126.89,129.39,129.06,135.51,127.58,129.02,130.19,133.96,134.96,134.53,125.23,126.37,124.09,129.02,132.81,129.02,144.2,129.02,121.43,126.29,124.62,127.54,127.54,133.42,146.17,139.26
洛阳市,,,,,,,,,100.0,96.94,102.2,100.99,103.9,98.93,106.18,106.91,111.04,109.37,121.6,134.92,111.88,140.32,119.97,109.9,127.34,116.81,115.26,116.83,113.46,110.58,109.5,112.49,127.0,121.11,121.1,117.15,112.22,128.25,127.43,123.32,127.43,119.21,135.65,127.43,132.08,118.8,144.82,123.36,126.28,141.12,123.86
济南市,100.0,98.79,102.56,108.25,119.5,126.77,139.13,132.88,141.51,156.24,152.1,162.8,161.77,171.14,164.9,172.69,169.8,180.04,171.19,164.48,166.16,178.34,167.46,179.57,177.81,165.95,166.09,165.76,175.37,185.11,188.53,189.86,177.95,181.93,196.75,198.58,196.55,201.62,206.01,219.52,219.52,216.14,212.76,219.51,211.1,208.97,201.47,202.52,205.93,206.23,201.0
海口市,,,,,100.0,111.48,102.91,104.9,124.48,118.18,117.09,125.02,109.62,117.92,110.86,129.46,123.75,115.66,110.54,109.71,126.4,112.93,109.46,108.81,112.08,125.82,110.16,116.23,125.25,117.91,113.01,107.29,106.51,116.79,128.16,126.57,123.74,134.35,139.06,148.49,153.2,155.56,164.99,160.28,163.65,164.85,162.19,150.24,131.76,161.34,159.53
