city_name,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4
温州,,,,,100.0,108.07,118.68,169.74,261.24,263.14,243.67,222.14,222.53,162.44,179.83,167.5,179.02,191.35,218.16,148.91,175.06,155.04,120.13,117.75,87.76,115.35,120.16,123.49,111.55,121.97,118.48,101.12,112.11,98.56,112.76,107.56
湖州,,,,,100.0,105.84,114.87,126.67,128.11,166.26,161.71,194.8,178.86,186.85,178.15,205.99,184.55,188.01,178.57,179.67,187.22,178.65,177.3,152.11,158.23,141.11,150.52,159.19,150.08,147.67,147.58,152.71,149.42,160.15,169.48,182.73
潍坊,,,,,,,,,100.0,108.1,115.63,118.87,122.97,122.41,125.55,117.39,121.28,137.04,168.48,122.26,138.17,176.21,151.72,149.19,161.58,122.95,141.9,132.16,116.31,120.66,116.61,131.72,128.43,134.65,145.96,141.56
烟台,,,,,100.0,99.5,98.14,107.93,114.28,122.13,129.31,132.52,129.11,135.64,126.27,130.72,138.6,133.13,143.48,154.23,183.73,184.22,165.69,143.01,144.98,148.94,151.35,148.48,156.27,146.74,145.78,150.72,139.44,150.85,155.34,190.67
牡丹江,,,,,,,,,100.0,105.03,112.0,122.83,113.22,117.97,129.11,157.07,151.24,135.84,134.1,165.06,181.84,185.2,183.93,104.03,152.6,136.38,124.03,159.21,158.92,153.27,135.68,145.83,127.51,145.35,138.5,145.78
珠海,,,,,100.0,105.18,108.29,96.03,93.63,111.7,130.33,140.6,145.59,147.92,139.69,140.43,174.49,179.74,186.18,159.1,147.46,175.46,179.63,162.05,183.32,150.26,166.61,195.62,207.22,253.31,190.58,198.2,193.67,208.33,227.41,237.59
盐城,,,,,100.0,97.99,107.68,105.31,98.7,145.01,116.61,134.16,130.02,131.58,179.73,155.06,138.21,138.68,133.37,195.68,202.7,210.47,209.51,172.12,181.23,151.82,160.8,184.75,198.56,196.04,180.99,206.54,239.26,249.25,259.24,234.26
石家庄,100.0,104.07,122.07,124.28,150.93,165.29,169.51,180.73,199.9,185.01,177.96,208.73,212.05,198.97,182.77,206.13,209.93,295.27,302.54,253.43,258.27,281.6,328.93,300.72,318.83,296.3,294.38,295.42,285.71,276.96,288.16,354.41,360.09,397.8,435.34,434.66
福州,,,,,100.0,140.38,123.77,128.18,130.64,119.73,144.9,177.1,177.16,175.49,182.67,187.96,207.55,217.67,221.84,228.3,231.93,228.26,239.28,219.73,202.38,191.42,196.75,196.95,201.65,178.83,149.56,182.91,164.57,172.45,195.22,212.97
秦皇岛,,,,,,,,,100.0,112.25,113.45,126.2,121.48,119.39,113.08,121.04,156.15,130.19,146.33,151.29,143.23,140.01,154.24,113.48,125.47,126.25,110.96,123.63,129.78,121.37,118.11,127.89,120.35,145.96,162.66,189.41
