city,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
潍坊市,19.19,21.26,24.47,22.45,22.09,17.63,19.69,20.07,21.33,17.28,21.6,17.31,22.74,22.4,18.57,18.57,20.71,19.48,18.16,28.23,22.95,20.4,24.0,23.4,22.8,23.7,21.6,22.2,21.9,22.8,22.2,24.9,25.5,21.6,24.3,20.1,27.0,29.4,30.0,31.0,31.0,33.0,33.0,33.0,32.47,31.55,32.87,31.35,34.46,34.52,34.73
烟台市,31.52,31.92,33.37,31.46,31.31,31.74,29.84,30.3,30.36,28.99,32.21,29.12,35.28,32.75,34.65,34.82,33.39,32.61,31.18,30.77,32.68,31.5,35.7,35.4,33.0,32.7,30.9,30.9,32.7,30.0,30.0,30.9,32.7,32.4,33.6,33.9,34.5,34.5,35.0,38.0,37.0,38.0,36.0,38.0,38.4,37.28,37.34,39.79,38.76,38.58,35.8
珠海市,55.28,55.92,53.08,53.23,52.84,60.01,59.97,67.8,49.42,44.76,57.53,56.17,40.67,55.9,57.76,51.77,46.45,57.13,55.32,54.53,60.39,60.9,64.8,65.7,61.2,67.2,59.1,66.0,58.2,61.5,70.2,67.2,66.3,69.6,68.1,70.8,74.7,77.1,73.0,78.0,82.0,75.0,82.0,77.0,68.02,76.76,67.85,66.29,68.77,71.73,78.82
石家庄市,48.46,52.35,49.18,48.02,49.59,48.28,44.17,40.38,42.6,43.54,50.93,50.86,50.13,50.42,50.38,48.61,49.42,47.97,50.92,50.39,49.16,49.5,51.3,51.9,53.1,52.5,51.9,52.8,52.5,51.0,50.7,52.8,52.2,52.2,53.7,53.1,54.3,58.2,55.0,55.0,57.0,58.0,56.0,56.0,55.15,53.89,53.15,51.62,51.16,50.1,50.89
福州市,57.85,52.77,57.87,57.02,52.62,52.41,49.36,58.97,56.31,52.76,61.55,59.45,60.47,58.44,59.81,58.18,58.26,58.05,56.11,59.04,61.06,60.0,60.0,57.6,55.5,56.4,55.5,54.9,57.3,57.6,60.6,62.1,63.9,61.8,63.9,60.9,61.2,62.7,65.0,63.0,63.0,63.0,61.0,65.0,66.28,66.14,66.02,64.95,64.73,63.57,62.8
绍兴市,32.07,31.94,32.67,31.24,30.68,31.68,31.58,39.13,30.85,31.99,32.13,35.4,30.73,32.08,98.72,78.37,30.3,30.95,31.71,32.49,33.28,32.1,31.8,33.9,30.9,31.5,33.9,32.1,31.2,31.5,31.2,31.8,31.2,30.3,31.2,31.5,31.2,32.4,33.0,33.0,33.0,32.0,33.0,35.0,34.18,35.71,33.05,33.69,33.78,33.93,34.3
苏州市,51.87,48.45,47.65,47.6,48.97,52.27,49.27,54.93,50.81,53.42,53.32,56.06,58.24,54.19,54.97,55.84,55.53,53.2,54.0,55.3,54.48,52.8,53.1,54.6,54.3,50.1,54.0,52.8,51.3,54.0,,54.0,54.6,54.6,53.4,54.3,54.6,53.7,55.0,56.0,56.0,57.0,57.0,56.0,55.87,55.43,55.98,54.9,59.41,60.26,59.39
西安市,49.71,43.72,48.9,50.18,46.81,44.62,49.25,43.98,44.11,42.01,50.59,52.8,51.52,51.57,50.47,52.36,50.54,48.5,49.03,52.15,49.84,51.6,51.6,52.2,52.8,51.3,52.2,51.6,52.2,54.0,53.4,54.6,53.1,53.4,55.8,56.1,55.2,55.5,56.0,59.0,61.0,62.0,63.0,65.0,64.78,64.94,65.7,67.91,65.33,62.95,65.4
贵阳市,60.88,43.51,60.58,53.77,48.62,44.95,38.99,48.26,39.58,38.95,48.32,45.9,50.72,44.63,41.21,42.33,43.25,42.71,41.97,44.21,44.25,45.0,43.5,45.3,46.8,45.3,42.0,45.6,42.3,42.3,45.9,48.6,48.6,49.2,52.8,47.4,50.4,53.1,53.0,53.0,55.0,55.0,55.0,57.0,52.86,57.62,55.03,54.25,55.04,50.83,54.09
赣州市,38.18,37.28,29.44,31.98,29.88,27.46,30.07,29.69,32.14,28.58,37.5,36.42,33.96,28.99,31.84,32.91,30.12,28.4,31.83,33.96,33.09,34.2,35.1,32.4,32.1,30.0,27.0,27.9,28.5,30.3,28.8,31.5,32.4,30.6,33.9,27.9,29.7,37.5,35.0,39.0,43.0,44.0,36.0,39.0,40.33,40.36,43.89,46.77,44.54,44.75,43.51
郑州市,52.45,46.97,52.17,49.83,50.66,49.77,50.55,50.49,45.7,47.14,52.67,49.26,48.39,50.38,47.87,48.93,48.08,45.28,45.41,44.21,44.0,44.7,45.9,44.7,45.6,46.5,46.2,46.2,45.6,44.7,45.0,44.4,43.8,44.1,43.5,43.2,43.5,44.7,46.0,47.0,46.0,46.0,46.0,46.0,46.47,46.36,45.07,45.12,44.03,43.47,45.23
重庆市,65.35,70.51,61.34,59.01,58.89,60.64,55.11,54.34,53.92,51.43,56.56,56.73,58.57,57.58,59.23,57.47,56.14,57.09,57.39,55.97,56.12,56.4,56.4,55.5,56.4,54.3,55.5,57.0,56.1,57.9,59.4,60.9,60.6,58.8,58.2,59.7,59.7,60.9,61.0,62.0,64.0,65.0,64.0,66.0,65.88,64.38,62.4,59.32,56.43,56.61,59.22
金华市,36.03,36.18,37.99,29.01,36.08,37.77,31.86,29.12,32.63,33.63,34.02,31.99,31.34,30.65,31.68,31.67,31.7,31.06,34.02,31.71,32.49,31.8,32.7,31.8,31.2,27.3,28.8,28.5,32.4,31.8,30.9,33.6,37.2,30.6,30.9,33.9,30.6,31.2,33.0,33.0,33.0,34.0,35.0,36.0,34.45,34.24,35.45,35.67,38.08,36.35,38.2
长春市,37.91,35.42,36.58,35.62,36.07,32.99,33.61,34.66,37.64,32.87,41.44,48.49,49.18,43.6,42.25,42.68,40.73,33.73,38.12,43.49,42.48,40.8,45.0,40.5,41.4,41.4,42.6,42.6,41.4,42.3,45.0,43.5,45.6,45.3,46.8,46.8,46.2,49.8,50.0,49.0,50.0,49.0,50.0,51.0,49.99,52.67,51.94,51.47,49.6,49.25,51.74
长沙市,44.22,46.06,38.22,45.09,42.22,42.71,40.84,51.1,45.46,42.69,46.07,51.62,44.92,45.5,42.48,47.79,47.37,46.04,49.84,53.23,48.24,50.7,52.2,48.9,47.1,52.2,52.5,52.2,51.6,54.3,58.8,57.9,56.4,57.9,58.8,57.3,58.5,60.3,62.0,62.0,65.0,59.0,64.0,69.0,65.15,65.41,64.38,66.06,66.94,62.38,61.02
青岛市,59.07,63.4,58.4,60.26,61.22,58.49,56.0,60.64,56.89,67.88,61.01,71.59,72.09,66.41,65.38,69.44,69.33,68.26,65.85,74.13,75.65,72.3,69.3,71.4,69.9,70.5,72.0,71.4,74.1,72.0,72.6,73.5,73.2,75.0,72.9,70.2,73.2,75.3,72.0,76.0,77.0,78.0,79.0,79.0,78.7,76.79,74.77,74.52,73.53,76.05,70.6
