city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
西安市,,,,,100.0,132.01,128.2,154.27,223.44,206.02,207.29,230.69,231.94,202.91,172.03,200.37,235.09,249.4,237.55,216.03,224.34,279.68,238.2,221.93,225.69,210.34,192.63,179.99,168.52,179.63,191.58,202.64,184.66,177.44,227.21,252.49,248.97,263.93,278.59,325.51,325.51,337.24,331.37,340.17,349.14,373.33,372.89,377.2,369.75,347.76,348.23
贵阳市,,,,,100.0,109.94,105.92,90.71,127.45,114.12,132.42,133.0,121.58,123.08,114.78,131.53,139.55,194.33,156.24,196.54,173.65,196.66,207.06,176.83,144.18,142.3,144.66,164.25,170.7,154.59,140.13,128.64,103.16,88.93,146.12,173.86,175.33,179.74,186.11,238.35,202.43,207.33,191.0,194.26,178.59,260.83,189.12,293.78,157.45,206.9,266.57
赣州市,,,,,,,,,100.0,107.15,121.22,157.66,131.07,116.32,107.03,119.37,155.1,162.84,157.03,163.81,150.57,161.12,152.36,127.78,120.49,105.25,106.72,104.59,98.54,86.94,91.22,84.83,67.45,66.39,67.37,66.27,96.46,106.03,112.9,120.26,127.62,137.44,120.26,130.08,118.03,133.2,129.91,132.02,127.28,144.93,134.47
遵义市,,,,,,,,,100.0,170.15,151.54,218.13,244.7,233.35,240.62,330.9,370.3,331.08,326.48,431.92,376.0,384.27,372.62,341.01,172.48,313.39,312.19,331.38,299.47,184.53,297.29,296.33,236.63,235.7,155.98,251.67,263.57,316.28,334.42,351.42,408.1,328.75,340.09,311.75,348.37,355.85,413.95,396.49,488.2,458.44,376.2
郑州市,100.0,83.41,59.83,95.8,113.31,172.54,176.74,192.03,238.74,230.4,232.6,276.97,248.64,233.59,206.66,244.68,254.66,291.5,285.41,293.59,246.45,296.67,259.43,218.31,169.08,184.45,214.72,204.14,198.06,194.33,181.64,211.57,200.96,199.87,165.87,151.23,172.47,209.85,215.23,252.05,249.22,249.22,243.56,252.06,286.92,331.33,336.88,374.18,372.42,306.35,343.71
重庆市,100.0,87.97,66.21,83.46,89.75,110.12,106.9,115.14,105.98,108.32,145.62,196.2,207.1,184.46,200.52,211.55,213.16,229.1,181.56,230.08,234.28,228.53,206.51,192.43,183.95,171.78,165.11,161.24,159.84,164.79,166.84,175.98,136.18,125.26,167.69,207.68,197.9,204.67,168.05,223.23,243.3,270.89,268.38,278.41,266.62,267.82,243.42,251.97,284.95,320.54,273.91
金华市,,,,,,,,,100.0,115.82,127.76,139.38,144.92,136.51,127.16,131.62,140.25,143.5,145.29,150.67,140.11,133.3,129.97,117.55,112.76,105.97,113.79,114.04,100.58,102.22,95.98,94.56,101.76,92.17,86.26,106.32,126.81,134.56,119.98,121.83,125.52,112.6,110.75,110.75,128.32,123.67,122.77,102.39,106.65,86.14,105.32
银川市,,,,,100.0,110.57,112.23,121.42,117.83,137.22,133.7,158.42,144.4,161.37,157.8,163.69,158.64,188.6,178.19,169.91,160.67,187.48,182.74,142.14,131.66,128.25,149.01,143.27,125.34,125.14,149.07,154.96,146.99,150.95,111.08,181.12,157.44,282.83,208.99,185.77,199.7,171.83,190.41,213.63,190.55,224.96,224.12,207.4,176.75,195.19,222.54
锦州市,,,,,,,,,100.0,120.93,113.75,123.98,133.07,123.48,141.67,127.31,147.01,152.15,169.71,162.83,144.53,156.44,150.46,123.74,116.92,115.6,133.77,123.48,88.45,108.45,114.09,117.88,119.09,115.07,62.31,117.36,150.89,197.59,175.64,203.58,167.65,187.61,167.65,175.63,174.95,155.75,142.62,171.96,201.78,171.32,180.54
镇江市,,,,,,,,,100.0,104.27,110.63,110.22,129.61,113.42,119.62,114.44,124.24,122.97,135.24,131.44,145.42,147.12,144.54,51.52,124.46,117.49,115.07,119.73,108.88,107.57,101.3,104.99,109.35,107.09,66.92,101.94,95.03,116.63,118.07,109.43,115.19,126.71,100.79,103.67,103.35,108.53,102.14,106.37,93.47,103.58,95.55
长春市,100.0,97.01,92.01,101.29,112.23,123.72,132.29,144.49,163.57,173.68,178.88,200.24,189.67,185.97,171.97,191.92,190.76,213.34,223.87,239.68,242.97,244.52,264.22,240.23,215.55,197.64,208.93,217.56,211.57,172.75,204.69,187.12,171.1,164.61,182.98,170.57,166.91,173.0,186.81,211.18,211.18,203.06,211.18,219.3,221.37,240.74,224.78,202.32,191.03,222.06,244.23
长沙市,,,,,100.0,117.84,117.88,131.47,133.14,120.5,151.8,166.07,155.9,166.18,150.26,165.02,181.9,202.86,206.84,209.11,205.03,189.8,200.43,154.66,147.55,135.66,139.06,138.19,138.66,120.35,112.61,124.35,104.78,106.21,131.87,163.43,156.52,150.86,169.72,194.86,201.15,178.1,199.05,199.05,193.94,205.25,192.91,199.43,180.05,194.13,179.71
青岛市,100.0,98.89,118.37,118.6,118.42,121.39,127.19,142.71,141.06,140.58,150.62,165.93,149.89,153.08,142.88,169.4,199.56,177.51,174.1,176.3,175.14,173.63,176.66,144.04,140.21,127.79,135.63,143.16,142.75,144.93,149.5,160.05,173.94,162.05,191.09,196.12,197.83,207.21,218.86,224.54,230.22,218.85,244.43,252.96,228.46,257.56,259.01,288.17,266.71,271.12,227.8
马鞍山市,,,,,,,,,100.0,99.4,99.96,100.98,94.03,89.76,100.11,105.04,90.28,89.16,93.33,98.9,120.22,116.15,104.79,108.76,86.77,106.24,105.55,104.72,97.56,80.56,80.38,86.95,85.73,77.76,48.78,86.92,112.53,130.38,113.82,106.06,121.58,108.65,134.52,121.59,112.12,115.22,136.82,113.72,116.72,99.83,128.29
